Source project,record_id,Decision bucket,Priority score,Rules triggered,Why flagged (1-2 line inference)
Source Project 4581,549,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,56,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,564,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,57,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,575,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,579,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,58,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,580,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,606,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,607,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,616,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,62,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,656,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,659,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,666,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,667,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,679,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,68,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,680,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,703,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,709,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,710,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,715,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,716,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,717,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,719,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,734,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,739,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,74,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,745,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,75,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,755,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,758,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,759,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,762,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,766,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,773,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,775,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,777,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,782,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,783,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,784,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,785,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,786,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,792,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,798,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,811,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,813,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,815,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,819,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,830,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,854,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,862,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,873,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,898,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,899,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,903,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,908,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,917,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,920,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,930,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,945,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,948,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,951,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,955,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,964,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,985,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,993,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,994,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,995,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,998,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1025,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,1069,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,1076,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,1137,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,118,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,1554,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,1591,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,1642,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,167,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,1699,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,1707,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,1741,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,205,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,220,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,273,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,31,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,364,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,416,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,52,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,676,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,768,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,769,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,966,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,967,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,968,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,969,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,970,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,971,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,972,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,973,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,974,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,975,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,976,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,977,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,978,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,979,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,981,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4581,987,Manual review required,5,R8,Flagged for review: single Tier 1 trigger (R8) detected; review protects against false positives.
Source Project 4797,101,Manual review required,5,R9,Flagged for review: single Tier 1 trigger (R9) detected; review protects against false positives.
Source Project 4797,89,Manual review required,5,R9,Flagged for review: single Tier 1 trigger (R9) detected; review protects against false positives.
Source Project 4581,1007,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1015,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1017,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1018,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1029,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1034,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1051,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1072,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1115,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1116,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1130,Manual review required,3,R1,Flagged for review: single Tier 1 trigger (R1) detected; review protects against false positives.
Source Project 4581,1144,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1145,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1146,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1148,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1154,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1182,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1187,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1192,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1198,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1257,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1268,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1273,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1275,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1279,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1280,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1282,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1300,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1303,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1304,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1314,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1320,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1323,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1360,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1384,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1404,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1406,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1424,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1430,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1435,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1436,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1483,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1484,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1487,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1490,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,150,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1505,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1508,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1521,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1545,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1571,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,158,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1582,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1585,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1588,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1597,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1602,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1608,Manual review required,3,R1,Flagged for review: single Tier 1 trigger (R1) detected; review protects against false positives.
Source Project 4581,1618,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1624,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1634,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1640,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1645,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1671,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1675,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1679,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1701,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1728,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1732,Manual review required,3,R1,Flagged for review: single Tier 1 trigger (R1) detected; review protects against false positives.
Source Project 4581,1763,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1772,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1775,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,178,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,1780,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,183,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,189,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,200,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,229,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,231,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,237,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,238,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,247,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,25,Manual review required,3,R1,Flagged for review: single Tier 1 trigger (R1) detected; review protects against false positives.
Source Project 4581,261,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,285,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,288,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,293,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,295,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,298,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,306,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,319,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,326,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,337,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,390,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,399,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,407,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,414,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,415,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,432,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,440,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,469,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,478,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,509,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,512,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,514,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,520,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,529,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,533,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,543,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,559,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,561,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,566,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,567,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,570,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,574,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,582,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,602,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,613,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,615,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,622,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,624,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,627,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,63,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,630,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,632,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,657,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,665,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,672,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,674,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,69,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
Source Project 4581,706,Manual review required,3,R2,Flagged for review: single Tier 1 trigger (R2) detected; review protects against false positives.
